Para,VLcases,Mean,Median,LQ95,UQ95,Mean_1,Median_1,LQ95_1,UQ95_1,MeanDiff1,LQ95Diff1,UQ95Diff1,Mean_2,Median_2,LQ95_2,UQ95_2,MeanDiff2,LQ95Diff2,UQ95Diff2
1,120.0,49.0887,48.0,19.0,86.0,37.1539,36.0,15.0,68.0,-11.934800000000001,-54.0,29.0,44.761700000000005,43.0,18.0,79.0,-4.327,-49.0,40.0
2,46.0,36.0246,35.0,9.0,71.02499999999964,23.6915,22.0,6.0,53.0,-12.3331,-52.0,26.0,31.2133,29.0,8.0,66.0,-4.8113,-48.0,38.0
3,18.0,24.2974,22.0,7.0,52.0,18.6406,17.0,5.0,41.0,-5.6568000000000005,-37.0,22.0,22.2615,20.0,6.0,48.0,-2.0359000000000003,-34.0,29.024999999999636
4,197.0,119.39320000000001,119.0,81.0,160.0,92.1555,91.0,61.97500000000002,128.0,-27.2377,-75.0,21.0,108.72250000000001,108.0,73.97500000000002,147.0,-10.6707,-61.0,40.0
5,15.0,24.0562,22.0,6.0,50.0,15.931500000000002,14.0,3.0,38.0,-8.1247,-38.0,19.024999999999636,20.8337,19.0,5.0,46.0,-3.2225,-34.0,28.0
6,94.0,65.7243,65.0,33.0,101.0,43.0016,42.0,20.0,74.0,-22.7227,-65.0,19.0,57.772800000000004,57.0,29.0,91.0,-7.9515,-53.0,37.0
7,42.0,33.106300000000005,33.0,18.0,50.0,27.1674,27.0,15.0,42.0,-5.9389,-26.0,13.0,30.5042,30.0,17.0,47.0,-2.6021,-23.0,17.0
8,8.0,9.647,8.0,2.0,26.0,8.3551,7.0,2.0,22.0,-1.2919,-19.0,14.0,9.1666,8.0,2.0,25.0,-0.48040000000000005,-18.0,17.0
9,33.0,23.9666,23.0,12.0,42.0,20.3367,20.0,10.0,35.0,-3.6299,-24.0,14.0,22.573500000000003,22.0,11.0,39.0,-1.3931,-22.0,18.0
10,17.0,25.4967,25.0,13.0,43.0,16.7867,16.0,8.0,29.0,-8.71,-27.0,8.0,21.890700000000002,21.0,11.0,38.0,-3.6060000000000003,-24.0,16.0
11,28.0,36.2625,35.0,18.0,59.0,22.183,21.0,11.0,39.0,-14.079500000000001,-40.0,10.0,30.7376,30.0,15.0,53.0,-5.524900000000001,-33.0,21.0
12,102.0,91.4002,91.0,43.0,145.0,69.914,69.0,33.0,114.0,-21.4862,-84.0,38.0,84.2548,83.0,39.0,137.0,-7.1454,-73.0,59.0
13,36.0,44.0888,43.5,17.0,75.0,33.1789,32.0,13.0,60.0,-10.9099,-47.0,25.0,40.2659,39.0,15.0,69.0,-3.8229,-43.0,35.0
14,23.0,14.041,13.0,3.0,30.0,10.8092,10.0,2.0,24.0,-3.2318000000000002,-21.0,14.0,12.9068,12.0,3.0,28.0,-1.1342,-20.0,17.0
15,15.0,5.4878,4.0,0.0,17.0,4.6456,4.0,0.0,14.0,-0.8422000000000001,-13.0,10.0,5.0688,4.0,0.0,15.0,-0.41900000000000004,-13.0,11.0
16,26.0,34.4959,34.0,15.0,58.0,21.5064,20.0,9.0,40.0,-12.989500000000001,-39.0,13.0,29.4034,29.0,12.0,52.0,-5.0925,-34.0,24.0
17,75.0,48.7626,47.0,22.0,82.0,38.6882,37.0,18.0,66.0,-10.0744,-48.0,25.0,45.268,44.0,21.0,77.0,-3.4946,-43.0,37.0
18,61.0,46.1208,44.0,18.0,86.0,37.310500000000005,36.0,15.0,69.0,-8.8103,-50.0,30.0,42.8746,41.0,17.0,80.0,-3.2462,-47.0,40.0
19,62.0,20.2637,19.0,6.0,42.0,15.872,15.0,5.0,34.0,-4.3917,-29.0,18.0,18.6047,17.0,6.0,39.0,-1.659,-28.0,23.0
0,1018.0,751.7243,750.0,593.975,926.0,557.3283,556.0,425.0,701.0,-194.396,-362.0,-36.0,679.0851,678.0,530.0,839.0,-72.6392,-245.0,96.0
