tA,tE,tI,tDor,tP,tR
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
14.0,Inf,Inf,Inf,Inf,20.0
Inf,5.0,12.0,Inf,Inf,15.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
15.0,Inf,Inf,Inf,Inf,17.0
0.0,Inf,Inf,Inf,Inf,2.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
18.0,Inf,Inf,Inf,Inf,21.0
0.0,Inf,Inf,Inf,Inf,0.0
58.0,Inf,Inf,Inf,Inf,61.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
74.0,Inf,Inf,Inf,Inf,77.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
53.0,Inf,Inf,Inf,Inf,58.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
79.0,Inf,Inf,Inf,Inf,81.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
15.0,Inf,Inf,Inf,Inf,19.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,86.0,87.0,90.0,119.0,148.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,76.0,85.0,Inf,Inf,86.0
0.0,Inf,Inf,Inf,Inf,0.0
68.0,Inf,Inf,Inf,Inf,72.0
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
65.0,Inf,Inf,Inf,Inf,72.0
0.0,Inf,Inf,Inf,Inf,0.0
60.0,Inf,Inf,Inf,Inf,62.0
77.0,Inf,Inf,Inf,Inf,80.0
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
70.0,Inf,Inf,Inf,Inf,75.0
Inf,Inf,Inf,Inf,Inf,Inf
52.0,Inf,Inf,Inf,Inf,66.0
96.0,Inf,Inf,Inf,Inf,97.0
37.0,Inf,Inf,Inf,Inf,41.0
Inf,89.0,95.0,Inf,Inf,96.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
54.0,Inf,Inf,Inf,Inf,57.0
0.0,Inf,Inf,Inf,Inf,0.0
73.0,Inf,Inf,Inf,Inf,82.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
68.0,Inf,Inf,Inf,Inf,76.0
Inf,Inf,Inf,Inf,Inf,Inf
79.0,Inf,Inf,Inf,Inf,89.0
48.0,Inf,Inf,Inf,Inf,54.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,54.0,57.0,Inf,Inf,58.0
69.0,Inf,Inf,Inf,Inf,71.0
58.0,Inf,Inf,Inf,Inf,61.0
58.0,Inf,Inf,Inf,Inf,60.0
58.0,Inf,Inf,Inf,Inf,60.0
0.0,Inf,Inf,Inf,Inf,0.0
50.0,Inf,Inf,Inf,Inf,51.0
60.0,Inf,Inf,Inf,Inf,84.0
80.0,Inf,Inf,Inf,Inf,88.0
58.0,Inf,Inf,Inf,Inf,60.0
Inf,Inf,Inf,Inf,Inf,Inf
80.0,Inf,Inf,Inf,Inf,82.0
Inf,65.0,78.0,Inf,Inf,83.0
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,70.0,77.0,Inf,Inf,82.0
Inf,Inf,Inf,Inf,Inf,Inf
34.0,Inf,Inf,Inf,Inf,37.0
81.0,Inf,Inf,Inf,Inf,89.0
Inf,42.0,47.0,48.0,49.0,78.0
58.0,Inf,Inf,Inf,Inf,68.0
51.0,Inf,Inf,Inf,Inf,69.0
54.0,Inf,Inf,Inf,Inf,59.0
0.0,Inf,Inf,Inf,Inf,0.0
58.0,Inf,Inf,Inf,Inf,64.0
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
63.0,Inf,Inf,Inf,Inf,65.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
39.0,Inf,Inf,Inf,Inf,40.0
39.0,Inf,Inf,Inf,Inf,40.0
57.0,Inf,Inf,Inf,Inf,59.0
57.0,Inf,Inf,Inf,Inf,59.0
80.0,Inf,Inf,Inf,Inf,82.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
0.0,Inf,Inf,Inf,Inf,0.0
63.0,Inf,Inf,Inf,Inf,68.0
Inf,Inf,Inf,Inf,Inf,Inf
21.0,Inf,Inf,Inf,Inf,27.0
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,Inf,10.0
94.0,Inf,Inf,Inf,Inf,95.0
1.0,Inf,Inf,Inf,Inf,37.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
44.0,Inf,Inf,Inf,Inf,50.0
Inf,Inf,Inf,Inf,Inf,Inf
38.0,Inf,Inf,Inf,Inf,40.0
Inf,Inf,Inf,Inf,Inf,Inf
83.0,Inf,Inf,Inf,Inf,92.0
0.0,Inf,Inf,Inf,Inf,0.0
24.0,Inf,Inf,Inf,Inf,29.0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
60.0,Inf,Inf,Inf,Inf,63.0
0.0,Inf,Inf,Inf,Inf,0.0
Inf,Inf,Inf,Inf,Inf,Inf
44.0,Inf,Inf,Inf,Inf,47.0
8.0,Inf,Inf,Inf,Inf,10.0
58.0,Inf,Inf,Inf,Inf,64.0
66.0,Inf,Inf,Inf,Inf,67.0
98.0,Inf,Inf,Inf,Inf,99.0
0.0,Inf,Inf,Inf,Inf,0.0
53.0,Inf,Inf,Inf,Inf,58.0
